class,feature,mean,std,min,max,median,n_sections
VEGETATED_DUNES,brightness_mean,142.95548767289455,18.481539020060147,123.075,192.6375,141.91377314814815,20
VEGETATED_DUNES,brightness_std,26.897817101424533,9.378038961310006,12.896981639773962,43.71670116714549,25.128218576990115,20
VEGETATED_DUNES,brightness_cv,0.1946104517568045,0.08044982484418053,0.06694948615802877,0.3494016777430285,0.1810441650190162,20
VEGETATED_DUNES,ndvi_mean,-0.12519251408904247,0.024703129014199906,-0.16550094456122094,-0.0810647010555487,-0.11890848250812151,20
VEGETATED_DUNES,ndvi_std,0.0419880133625508,0.01320360391583079,0.025614876068589008,0.07266571797208267,0.03936831171364463,20
VEGETATED_DUNES,ndvi_min,-0.19846173018773774,0.035235653404564034,-0.2862453531597449,-0.1501597444088977,-0.18918730380181892,20
VEGETATED_DUNES,ndvi_max,-0.020012260801455108,0.0371208577348611,-0.08539944903578915,0.052980132450313584,-0.030517521466688718,20
VEGETATED_DUNES,ndwi_mean,0.09282665326576026,0.030609817171112937,0.04610889129342194,0.15684241388987677,0.09906417321561489,20
VEGETATED_DUNES,ndwi_std,0.03532496307305447,0.009524854593812554,0.022191018967178792,0.059844189158054784,0.03430856802663533,20
VEGETATED_DUNES,nir_ratio_mean,0.8852801619576622,0.04339140735023408,0.8064876644092916,0.9460727286981141,0.8747832792865056,20
VEGETATED_DUNES,nir_ratio_std,0.05067322237167876,0.013968622589545227,0.03185837869106638,0.08917418872781353,0.0499581990310587,20
VEGETATED_DUNES,rg_ratio_mean,1.0694435494168393,0.03388804641622038,1.0131474600551234,1.1220867570843598,1.0756103505340753,20
VEGETATED_DUNES,rg_ratio_std,0.04409164941985585,0.01757686140797633,0.01207663826579149,0.0849145038978832,0.041502022457670484,20
VEGETATED_DUNES,blue_red_ratio_mean,0.8060849958142768,0.05635223763113594,0.7302772564849705,0.9523425602438723,0.7935468597936391,20
VEGETATED_DUNES,blue_red_ratio_std,0.05636197008671713,0.02212113705380621,0.020456590285291763,0.09542031536689274,0.049678596866414716,20
VEGETATED_DUNES,n_points,46.15,6.792216908073224,37.0,60.0,42.5,20
VEGETATED_DUNES,length_m,45.15,6.792216908073224,36.0,59.0,41.5,20
VEGETATED_DUNES,variability_mean,26.897817101424533,9.378038961310006,12.896981639773962,43.71670116714549,25.128218576990115,20
